l_dist_mm,r_dist_mm,timestamp
-2827,-3278,61.685
-2827,-3278,61.785
-2827,-3278,61.886
-2827,-3278,61.986
-2827,-3278,62.086
-2827,-3278,62.187
-2827,-3278,62.288
-2827,-3278,62.388
-2827,-3278,62.489
-2827,-3278,62.589
-2827,-3278,62.689
-2827,-3278,62.790
-2827,-3278,62.890
-2827,-3278,62.991
-2827,-3278,63.091
-2827,-3278,63.192
-2827,-3278,63.292
-2827,-3278,63.393
-2827,-3278,63.493
-2827,-3278,63.593
-2827,-3278,63.694
-2827,-3278,63.795
-2827,-3278,63.895
-2827,-3278,63.996
-2827,-3278,64.096
-2827,-3278,64.196
-2827,-3278,64.297
-2827,-3278,64.398
-2827,-3278,64.498
-2827,-3278,64.599
-2827,-3278,64.699
-2827,-3278,64.799
-2827,-3278,64.900
-2827,-3278,65.000
-2827,-3278,65.101
-2827,-3278,65.202
-2827,-3278,65.302
-2827,-3278,65.402
-2827,-3278,65.503
-2827,-3278,65.603
-2827,-3278,65.704
-2827,-3278,65.804
-2827,-3278,65.904
-2827,-3278,66.005
-2827,-3278,66.106
-2827,-3278,66.206
-2827,-3278,66.307
-2827,-3278,66.407
-2827,-3278,66.507
-2827,-3278,66.608
-2827,-3278,66.708
-2827,-3278,66.809
-2827,-3278,66.909
-2827,-3278,67.009
-2827,-3278,67.110
-2827,-3278,67.211
-2827,-3278,67.311
-2827,-3278,67.412
-2827,-3278,67.512
-2827,-3278,67.612
-2827,-3278,67.713
-2827,-3278,67.813
-2827,-3278,67.914
-2827,-3278,68.014
-2827,-3278,68.115
-2827,-3278,68.215
-2827,-3278,68.316
-2827,-3278,68.416
-2827,-3278,68.516
-2827,-3278,68.617
-2827,-3278,68.718
-2827,-3278,68.818
-2827,-3278,68.918
-2827,-3278,69.019
-2827,-3278,69.119
-2827,-3278,69.220
-2827,-3278,69.321
-2827,-3278,69.421
-2827,-3278,69.521
-2827,-3278,69.622
-2827,-3278,69.722
-2827,-3278,69.822
-2827,-3278,69.923
-2827,-3278,70.024
-2827,-3278,70.124
-2827,-3278,70.225
-2827,-3278,70.325
-2827,-3278,70.425
-2827,-3278,70.526
-2827,-3278,70.627
-2827,-3278,70.727
-2827,-3278,70.827
-2827,-3278,70.928
-2827,-3278,71.028
-2827,-3278,71.129
-2827,-3278,71.229
-2827,-3278,71.330
-2827,-3278,71.430
-2827,-3278,71.531
-2827,-3278,71.631
-2827,-3278,71.732
-2827,-3278,71.832
-2827,-3278,71.933
-2827,-3278,72.033
-2827,-3278,72.133
-2827,-3278,72.234
-2827,-3278,72.335
-2827,-3278,72.435
-2827,-3278,72.535
-2827,-3278,72.636
-2827,-3278,72.736
-2827,-3278,72.837
-2827,-3278,72.937
-2827,-3278,73.038
-2827,-3278,73.138
-2827,-3278,73.239
-2827,-3278,73.339
-2827,-3278,73.439
-2827,-3278,73.540
-2827,-3278,73.641
-2827,-3278,73.741
-2827,-3278,73.842
-2827,-3278,73.942
-2827,-3278,74.042
-2827,-3278,74.143
-2827,-3278,74.244
-2827,-3278,74.344
-2827,-3278,74.444
-2827,-3278,74.545
-2827,-3278,74.645
-2827,-3278,74.746
-2827,-3278,74.846
-2827,-3278,74.947
-2827,-3278,75.047
-2827,-3278,75.148
-2827,-3278,75.248
-2827,-3278,75.348
-2827,-3278,75.449
-2827,-3278,75.549
-2827,-3278,75.650
-2827,-3278,75.750
-2827,-3278,75.851
-2827,-3278,75.951
-2827,-3278,76.052
-2827,-3278,76.152
-2827,-3278,76.253
-2827,-3278,76.353
-2827,-3278,76.453
-2827,-3278,76.554
-2827,-3278,76.655
-2827,-3278,76.755
-2827,-3278,76.855
-2827,-3278,76.956
-2827,-3278,77.056
-2827,-3278,77.157
-2827,-3278,77.258
-2827,-3278,77.358
-2827,-3278,77.458
-2827,-3278,77.559
-2827,-3278,77.659
-2827,-3278,77.759
-2827,-3278,77.860
-2827,-3278,77.961
-2827,-3278,78.061
-2827,-3278,78.162
-2827,-3278,78.262
-2827,-3278,78.362
-2827,-3278,78.463
