compx,compy,compz,accelx,accely,accelz,gyrox,gyroy,gyroz,temp,baro,timestamp
0.4350,0.0617,0.2179,-0.048,0.171,-9.693,0.000782,-0.001687,0.001498,32.7,83.996,1559177154.316043139
0.4318,0.0617,0.2235,-0.042,0.164,-9.656,0.001622,-0.001295,0.001009,32.7,83.983,1559177154.316578150
0.4339,0.0640,0.2193,-0.028,0.158,-9.710,0.000587,-0.000821,0.001751,32.7,83.996,1559177154.317112684
0.4350,0.0583,0.2233,-0.044,0.167,-9.699,0.000401,-0.001163,0.000780,32.7,83.983,1559177154.317645073
0.4307,0.0618,0.2222,-0.045,0.174,-9.696,0.002455,-0.000877,0.001393,32.7,83.986,1559177154.318172216
0.4318,0.0606,0.2221,-0.029,0.163,-9.674,0.000565,-0.000331,0.001629,32.7,83.983,1559177154.318696976
0.4318,0.0629,0.2208,-0.027,0.170,-9.666,0.000396,-0.001812,0.002141,32.7,83.983,1559177154.319216967
0.4318,0.0606,0.2207,-0.049,0.168,-9.687,0.001492,-0.001666,0.001232,32.7,83.983,1559177154.319735527
0.4329,0.0606,0.2207,-0.049,0.165,-9.675,0.001314,-0.001294,0.001378,32.7,83.996,1559177154.320250511
0.4350,0.0629,0.2206,-0.052,0.183,-9.685,0.001599,-0.001783,0.001246,32.7,83.996,1559177154.320764542
0.4328,0.0629,0.2207,-0.045,0.170,-9.658,0.001298,-0.000202,0.001204,32.7,83.983,1559177154.321276188
0.4318,0.0640,0.2221,-0.059,0.175,-9.703,0.001750,-0.001461,0.002117,32.7,83.983,1559177154.321784496
0.4350,0.0617,0.2192,-0.073,0.155,-9.697,0.000854,-0.000966,0.001677,32.7,83.983,1559177154.322291374
0.4328,0.0617,0.2193,-0.038,0.190,-9.671,0.000077,-0.000897,0.001548,32.7,83.983,1559177154.322794914
0.4329,0.0606,0.2234,-0.041,0.154,-9.681,0.001145,-0.001056,0.002021,32.7,83.983,1559177154.323293924
0.4296,0.0640,0.2209,-0.047,0.181,-9.679,0.000874,0.000257,0.001657,32.7,83.983,1559177154.323793411
0.4328,0.0629,0.2207,-0.037,0.176,-9.711,0.001210,-0.001501,0.002815,32.7,83.983,1559177154.324290037
0.4339,0.0617,0.2220,-0.034,0.186,-9.656,0.000943,-0.001830,0.001644,32.7,83.996,1559177154.324781895
0.4350,0.0629,0.2233,-0.050,0.166,-9.671,0.002342,-0.001291,0.001406,32.7,83.992,1559177154.325283289
0.4318,0.0640,0.2221,-0.040,0.197,-9.687,0.001971,-0.001626,0.002323,32.7,83.986,1559177154.325775385
0.4350,0.0617,0.2219,-0.043,0.149,-9.695,0.001183,-0.000699,0.000660,32.7,83.996,1559177154.326281071
0.4328,0.0640,0.2207,-0.036,0.181,-9.681,0.001277,-0.000927,0.001725,32.7,83.983,1559177154.326794147
0.4328,0.0629,0.2221,-0.026,0.175,-9.679,0.000865,-0.000261,0.001179,32.7,83.983,1559177154.327304363
0.4318,0.0606,0.2207,-0.041,0.151,-9.693,-0.000042,-0.001747,0.001240,32.7,83.996,1559177154.327811003
0.4350,0.0617,0.2233,-0.056,0.172,-9.690,0.002800,-0.000666,0.000778,32.7,83.983,1559177154.328316212
0.4307,0.0595,0.2222,-0.054,0.159,-9.662,0.000835,-0.001385,0.000905,32.7,83.983,1559177154.328814983
0.4275,0.0606,0.2251,-0.047,0.161,-9.698,0.001149,-0.001565,0.001953,32.7,83.970,1559177154.329313517
0.4340,0.0583,0.2220,-0.061,0.162,-9.739,0.000617,-0.000887,0.001991,32.7,83.983,1559177154.329812288
0.4329,0.0583,0.2207,-0.016,0.175,-9.708,0.000225,-0.001526,0.003322,32.7,83.996,1559177154.330303907
0.4339,0.0629,0.2220,-0.036,0.169,-9.682,0.001328,-0.000197,0.000899,32.7,83.983,1559177154.330794573
0.4350,0.0617,0.2206,-0.053,0.185,-9.711,0.000895,-0.001326,0.001287,32.7,83.983,1559177154.331283331
0.4307,0.0640,0.2222,-0.042,0.180,-9.693,0.000566,0.000428,0.001337,32.7,83.983,1559177154.349103212
0.4328,0.0640,0.2221,-0.035,0.163,-9.679,0.001429,-0.000866,0.001498,32.7,83.986,1559177154.349604130
0.4350,0.0617,0.2206,-0.035,0.162,-9.677,0.001397,-0.001846,0.002125,32.7,83.996,1559177154.350096941
0.4318,0.0606,0.2207,-0.068,0.181,-9.711,0.000688,-0.002573,0.001956,32.7,83.983,1559177154.351867437
0.4318,0.0617,0.2235,-0.065,0.164,-9.691,0.001187,-0.001577,0.001277,32.7,83.996,1559177154.440095663
0.4350,0.0629,0.2206,-0.051,0.178,-9.693,0.001416,-0.001920,0.000526,32.7,83.996,1559177154.440624952
0.4329,0.0606,0.2220,-0.046,0.161,-9.689,0.001959,-0.000870,0.002044,32.7,83.996,1559177154.441118956
0.4329,0.0617,0.2234,-0.046,0.171,-9.712,0.000979,-0.001928,0.000780,32.7,83.983,1559177154.441609621
0.4318,0.0617,0.2208,-0.046,0.177,-9.668,-0.000233,-0.002219,0.002017,32.7,83.983,1559177154.442095995
0.4318,0.0629,0.2167,-0.058,0.179,-9.676,-0.000003,-0.001193,0.001191,32.7,83.983,1559177154.529823542
0.4318,0.0617,0.2208,-0.051,0.184,-9.719,0.001330,-0.001157,0.001872,32.7,83.983,1559177154.530323744
0.4372,0.0606,0.2232,-0.043,0.159,-9.687,0.000970,-0.000898,0.001631,32.7,83.983,1559177154.530812979
